UserID,Mood,Engagement,EngagementDelta,Reflection,Domain,Skills,Experience,Availability,TrueSupport,sentiment_compound,sentiment_neg,sentiment_pos,negative_word_freq,academic_signal,withdrawal_signal,motivation_signal,text_length_norm,emotional_score,academic_score,motivational_score,PredictedSupport,SupportConfidence
User_0030,5.5,0.59,-0.14,I need a push to stay consistent with my goals.,Data Science,"Project Management, Teamwork, Critical Thinking, Problem Solving, Python",Intermediate,Evening,Motivational,-0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1667,0.0,2.0,6.5,Motivational,0.65
User_0031,5.8,0.25,0.04,I want to improve but can't find the motivation to push forward.,Business,"Machine Learning, Critical Thinking, Statistics, Data Analysis, Time Management",Beginner,Evening,Motivational,-0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.2333,0.0,4.0,4.5,Motivational,0.45
User_0032,5.7,0.36,-0.01,I keep procrastinating and need someone to hold me accountable.,Literature,"Project Management, Problem Solving",Advanced,"Evening, Morning, Flexible",Motivational,-0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.2,0.0,4.0,5.5,Motivational,0.55
User_0033,4.4,0.22,-0.09,I need a study partner who can explain things differently.,Literature,"Project Management, Presentation, Writing, Machine Learning, Teamwork",Beginner,"Night, Weekends",Academic,-0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.2,0.0,5.0,4.0,Academic,0.5
User_0034,9.3,0.9,0.13,Today was balanced. Making good progress overall.,Physics,"Project Management, Research, Critical Thinking, Leadership, Writing",Beginner,"Morning, Evening, Weekends",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,None,0.0
User_0035,4.7,0.37,-0.21,I'm falling behind on deadlines and need academic guidance.,Psychology,"Python, Research",Expert,"Weekends, Morning",Academic,-0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.2333,0.0,7.0,3.0,Academic,0.7
User_0036,6.9,0.92,0.14,Things are manageable. Looking forward to improving more.,Literature,"Writing, Project Management, Presentation",Expert,Morning,None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,3.0,Motivational,0.3
User_0037,3.9,0.41,-0.15,Today was hard. I felt very lonely and couldn't concentrate.,Data Science,"Time Management, Teamwork, Statistics",Advanced,"Afternoon, Night",Emotional,-1.0,0.3333,0.0,0.3333,0.0,0.1667,0.0,0.2,8.5,2.0,2.0,Emotional,0.85
User_0038,7.1,0.63,0.06,Everything is fine. Learning and growing steadily.,Psychology,"Leadership, Communication, Programming, Research, Project Management",Intermediate,"Weekends, Night",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0039,5.8,0.27,-0.07,I have the knowledge but struggle with execution and drive.,Business,"Writing, Time Management",Intermediate,Night,Motivational,-0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.1333,0.0,6.0,5.5,Academic,0.6
User_0040,6.0,0.74,0.15,Pretty good day. Focused and productive.,Computer Science,"Teamwork, Data Analysis, Time Management",Expert,"Flexible, Morning, Night",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,3.0,Motivational,0.3
User_0041,5.5,0.43,-0.11,I don't understand how to approach the research methodology.,Physics,"Communication, Data Analysis, Leadership",Advanced,Night,Academic,-0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1667,0.0,4.0,5.0,Motivational,0.5
User_0042,3.9,0.31,-0.24,I'm falling behind on deadlines and need academic guidance.,Education,"Time Management, Data Analysis",Expert,"Weekends, Morning, Flexible",Academic,-0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.2333,4.5,7.0,1.0,Academic,0.7
User_0043,4.0,0.44,0.05,"I feel neutral — not bad, just stuck and unmotivated.",Engineering,"Problem Solving, Time Management, Programming, Data Analysis, Communication",Expert,"Evening, Morning",Motivational,-0.8,0.2,0.0,0.2,0.0,0.0,0.4,0.1667,7.0,0.0,3.5,Emotional,0.7
User_0044,5.4,0.23,-0.16,I failed my last assignment and don't know where to improve.,Mathematics,"Programming, Python",Beginner,Afternoon,Academic,-0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.2,1.5,8.0,3.0,Academic,0.8
User_0045,3.8,0.16,-0.19,I'm falling behind on deadlines and need academic guidance.,Physics,"Programming, Problem Solving, Writing, Machine Learning",Advanced,"Flexible, Morning, Afternoon",Academic,-0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.2333,4.5,7.0,1.0,Academic,0.7
User_0046,9.2,0.83,0.01,Pretty good day. Focused and productive.,Engineering,"Machine Learning, Presentation",Beginner,"Afternoon, Morning, Evening",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0047,5.6,0.54,-0.01,I need a push to stay consistent with my goals.,Mathematics,"Python, Teamwork, Data Analysis, Leadership",Advanced,Night,Motivational,-0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1667,0.0,0.0,7.5,Motivational,0.75
User_0048,4.5,0.24,-0.06,I can't grasp the mathematical concepts no matter how hard I try.,Data Science,"Machine Learning, Programming, Critical Thinking, Leadership",Advanced,"Night, Weekends",Academic,-0.5716,0.1429,0.0,0.1429,0.1429,0.0,0.0,0.2333,3.0,5.0,3.0,Academic,0.5
User_0049,6.7,0.68,0.16,Doing well. Staying on track with my goals.,Engineering,"Machine Learning, Time Management, Project Management, Data Analysis, Problem Solving",Advanced,Night,None,-0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1667,0.0,0.0,4.5,Motivational,0.45
User_0050,5.2,0.52,-0.01,I have the knowledge but struggle with execution and drive.,Education,"Critical Thinking, Python, Time Management, Research",Expert,Afternoon,Motivational,-0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.1333,0.0,2.0,7.5,Motivational,0.75
User_0051,8.7,0.75,0.11,Doing well. Staying on track with my goals.,Computer Science,"Communication, Research",Advanced,"Flexible, Afternoon",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1667,0.0,0.0,2.5,Motivational,0.25
User_0052,8.9,0.73,0.15,Feeling alright. Working through my tasks steadily.,Data Science,"Problem Solving, Presentation, Leadership, Communication",Beginner,"Evening, Afternoon",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0053,4.2,0.21,-0.25,I need help organizing my study plan and understanding the material.,Engineering,"Communication, Presentation, Machine Learning, Critical Thinking, Programming",Advanced,"Morning, Afternoon",Academic,-0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.2333,1.5,7.0,3.0,Academic,0.7
User_0054,5.4,0.41,-0.06,I keep procrastinating and need someone to hold me accountable.,Computer Science,"Critical Thinking, Communication",Beginner,"Afternoon, Night, Morning",Motivational,-0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.2,0.0,0.0,7.5,Motivational,0.75
User_0055,1.5,0.38,-0.06,Everything seems too much. I feel isolated and exhausted.,Biology,"Statistics, Teamwork, Time Management, Data Analysis, Leadership",Beginner,Weekends,Emotional,-1.0,0.3333,0.0,0.3333,0.0,0.1667,0.0,0.2,8.5,3.0,1.0,Emotional,0.85
User_0056,6.1,0.5,-0.19,I'm struggling to understand the core concepts in my coursework.,Mathematics,"Machine Learning, Time Management, Programming, Teamwork, Research",Advanced,"Night, Flexible, Weekends",Academic,-0.6668,0.1667,0.0,0.1667,0.5,0.0,0.0,0.2,4.0,4.0,4.0,Emotional,0.4
User_0057,2.7,0.15,-0.2,I'm feeling burnt out and emotionally drained.,Engineering,"Communication, Project Management, Statistics",Intermediate,Afternoon,Emotional,-1.0,0.4,0.0,0.4,0.0,0.0,0.0,0.1667,8.5,5.0,0.0,Emotional,0.85
User_0058,6.0,0.47,-0.02,I want to improve but can't find the motivation to push forward.,Computer Science,"Communication, Presentation, Time Management",Advanced,"Night, Morning, Afternoon",Motivational,-0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.2333,0.0,0.0,7.5,Motivational,0.75
User_0059,6.7,0.72,0.15,Everything is fine. Learning and growing steadily.,Mathematics,"Project Management, Writing, Communication",Beginner,Morning,None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,3.0,Motivational,0.3
User_0060,8.4,0.96,0.15,Everything is fine. Learning and growing steadily.,Mathematics,"Presentation, Communication, Time Management, Data Analysis, Teamwork",Beginner,"Weekends, Night, Flexible",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0061,2.4,0.33,-0.07,I've been struggling with anxiety and can't focus on anything.,Mathematics,"Project Management, Teamwork, Machine Learning",Intermediate,"Morning, Evening, Flexible",Emotional,-0.6668,0.1667,0.0,0.1667,0.0,0.0,0.0,0.2,7.0,3.0,1.0,Emotional,0.7
User_0062,9.4,0.73,0.14,Everything is fine. Learning and growing steadily.,Physics,"Leadership, Problem Solving",Beginner,"Evening, Flexible",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0063,9.9,0.76,0.1,Things are going okay. Just checking in today.,Data Science,"Leadership, Statistics",Beginner,"Evening, Flexible",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0064,9.0,0.68,0.11,Everything is fine. Learning and growing steadily.,Literature,"Research, Critical Thinking",Expert,"Weekends, Night",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0065,8.2,0.64,0.2,Had a normal day. Nothing special to report.,Physics,"Python, Project Management",Beginner,"Afternoon, Flexible, Evening",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0066,9.9,0.7,0.11,Pretty good day. Focused and productive.,Mathematics,"Leadership, Presentation, Communication",Expert,"Flexible, Evening, Night",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0067,6.0,0.25,-0.19,I don't understand how to approach the research methodology.,Education,"Teamwork, Statistics, Communication",Advanced,"Evening, Weekends",Academic,-0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1667,1.5,8.0,3.0,Academic,0.8
User_0068,5.2,0.23,-0.09,I'm struggling to understand the core concepts in my coursework.,Physics,"Problem Solving, Time Management, Critical Thinking, Programming, Data Analysis",Intermediate,"Evening, Afternoon",Academic,-0.6668,0.1667,0.0,0.1667,0.5,0.0,0.0,0.2,4.0,6.0,3.0,Academic,0.6
User_0069,6.2,0.56,-0.06,I have the knowledge but struggle with execution and drive.,Physics,"Data Analysis, Project Management, Programming, Teamwork, Writing",Advanced,"Morning, Afternoon",Motivational,-0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.1333,0.0,2.0,7.5,Motivational,0.75
User_0070,2.9,0.4,-0.09,Today was hard. I felt very lonely and couldn't concentrate.,Psychology,"Teamwork, Project Management, Writing, Statistics, Leadership",Expert,"Evening, Weekends",Emotional,-1.0,0.3333,0.0,0.3333,0.0,0.1667,0.0,0.2,8.5,3.0,1.0,Emotional,0.85
User_0071,6.5,0.51,-0.06,I lack the energy to begin my tasks even though I understand them.,Physics,"Machine Learning, Statistics",Advanced,Flexible,Motivational,-0.0,0.0,0.0,0.0,0.1429,0.0,0.1429,0.2333,0.0,2.0,7.5,Motivational,0.75
User_0072,1.9,0.23,-0.26,Today was hard. I felt very lonely and couldn't concentrate.,Physics,"Presentation, Communication, Python",Beginner,Evening,Emotional,-1.0,0.3333,0.0,0.3333,0.0,0.1667,0.0,0.2,10.0,5.0,0.0,Emotional,1.0
User_0073,4.2,0.37,-0.16,I'm struggling to understand the core concepts in my coursework.,Psychology,"Statistics, Machine Learning, Data Analysis",Intermediate,"Flexible, Afternoon, Night",Academic,-0.6668,0.1667,0.0,0.1667,0.5,0.0,0.0,0.2,4.0,7.0,2.0,Academic,0.7
User_0074,9.4,0.68,0.08,Things are manageable. Looking forward to improving more.,Biology,"Statistics, Leadership, Problem Solving",Expert,"Evening, Night, Flexible",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0075,1.8,0.3,-0.13,I feel really overwhelmed lately and don't know how to cope.,Engineering,"Machine Learning, Problem Solving, Time Management, Communication, Presentation",Expert,Flexible,Emotional,-0.5716,0.1429,0.0,0.1429,0.0,0.0,0.0,0.2333,7.5,5.0,0.0,Emotional,0.75
User_0076,8.5,0.87,0.14,Feeling alright. Working through my tasks steadily.,Biology,"Machine Learning, Programming, Problem Solving",Intermediate,Flexible,None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0077,3.7,0.21,-0.2,I feel hopeless about my progress and don't see a way forward.,Computer Science,"Programming, Leadership, Python, Machine Learning",Beginner,"Flexible, Afternoon",Emotional,-0.5716,0.1429,0.0,0.1429,0.0,0.0,0.0,0.2333,7.5,5.0,0.0,Emotional,0.75
User_0078,5.9,0.31,-0.23,My grades have been dropping and I feel academically behind.,Data Science,"Critical Thinking, Time Management, Communication, Writing",Advanced,"Night, Evening",Academic,-0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1667,1.5,8.0,3.0,Academic,0.8
User_0079,7.5,0.9,0.05,Pretty good day. Focused and productive.,Data Science,"Statistics, Programming, Data Analysis, Python",Expert,"Weekends, Morning",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0080,5.6,0.41,-0.01,I need a push to stay consistent with my goals.,Mathematics,"Leadership, Python, Machine Learning",Beginner,"Evening, Weekends, Afternoon",Motivational,-0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1667,0.0,0.0,7.5,Motivational,0.75
User_0081,3.7,0.15,-0.19,Today was hard. I felt very lonely and couldn't concentrate.,Psychology,"Python, Communication",Intermediate,"Morning, Flexible",Emotional,-1.0,0.3333,0.0,0.3333,0.0,0.1667,0.0,0.2,10.0,5.0,0.0,Emotional,1.0
User_0082,4.2,0.31,-0.2,I need a study partner who can explain things differently.,Literature,"Teamwork, Leadership",Advanced,"Night, Evening, Morning",Academic,-0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.2,1.5,7.0,3.0,Academic,0.7
User_0083,3.0,0.32,-0.15,I feel really overwhelmed lately and don't know how to cope.,Business,"Python, Data Analysis, Communication, Research",Beginner,Night,Emotional,-0.5716,0.1429,0.0,0.1429,0.0,0.0,0.0,0.2333,7.5,5.0,0.0,Emotional,0.75
User_0084,2.8,0.38,-0.24,I've been struggling with anxiety and can't focus on anything.,Business,"Writing, Programming, Machine Learning",Intermediate,Morning,Emotional,-0.6668,0.1667,0.0,0.1667,0.0,0.0,0.0,0.2,7.0,5.0,0.0,Emotional,0.7
User_0085,1.4,0.23,-0.1,I don't feel motivated at all and keep withdrawing from activities.,Biology,"Writing, Critical Thinking, Communication",Beginner,Morning,Emotional,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2333,3.0,3.0,2.0,Emotional,0.3
User_0086,3.3,0.28,-0.27,I feel hopeless about my progress and don't see a way forward.,Psychology,"Python, Writing, Presentation, Data Analysis",Expert,"Morning, Flexible, Night",Emotional,-0.5716,0.1429,0.0,0.1429,0.0,0.0,0.0,0.2333,7.5,5.0,0.0,Emotional,0.75
User_0087,2.5,0.42,-0.28,Everything seems too much. I feel isolated and exhausted.,Data Science,"Leadership, Project Management, Python, Programming",Beginner,"Night, Flexible",Emotional,-1.0,0.3333,0.0,0.3333,0.0,0.1667,0.0,0.2,8.5,2.0,2.0,Emotional,0.85
User_0088,6.5,0.44,-0.06,I need a push to stay consistent with my goals.,Education,"Statistics, Writing, Communication",Expert,"Flexible, Weekends, Evening",Motivational,-0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1667,0.0,0.0,7.5,Motivational,0.75
User_0089,2.2,0.13,-0.19,I'm really stressed and feeling disconnected from everyone.,Mathematics,"Data Analysis, Leadership, Research",Expert,"Evening, Night",Emotional,-1.0,0.2857,0.0,0.2857,0.0,0.1429,0.0,0.2333,10.0,5.0,0.0,Emotional,1.0
User_0090,6.0,0.44,-0.03,"I feel neutral — not bad, just stuck and unmotivated.",Psychology,"Statistics, Time Management, Teamwork, Programming, Data Analysis",Advanced,Flexible,Motivational,-0.8,0.2,0.0,0.2,0.0,0.0,0.4,0.1667,4.0,0.0,6.5,Motivational,0.65
User_0091,1.3,0.28,-0.26,I'm feeling burnt out and emotionally drained.,Literature,"Teamwork, Project Management, Programming, Data Analysis",Advanced,"Morning, Evening, Weekends",Emotional,-1.0,0.4,0.0,0.4,0.0,0.0,0.0,0.1667,8.5,5.0,0.0,Emotional,0.85
User_0092,6.0,0.49,-0.09,I'm struggling to understand the core concepts in my coursework.,Mathematics,"Teamwork, Critical Thinking, Problem Solving, Statistics",Expert,"Weekends, Afternoon",Academic,-0.6668,0.1667,0.0,0.1667,0.5,0.0,0.0,0.2,4.0,2.0,5.0,Motivational,0.5
User_0093,4.5,0.3,-0.02,I lack the energy to begin my tasks even though I understand them.,Computer Science,"Communication, Presentation, Programming",Beginner,"Evening, Flexible",Motivational,-0.0,0.0,0.0,0.0,0.1429,0.0,0.1429,0.2333,0.0,5.0,5.5,Motivational,0.55
User_0094,4.9,0.21,-0.19,I need a study partner who can explain things differently.,Computer Science,"Presentation, Critical Thinking",Expert,Night,Academic,-0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.2,1.5,7.0,3.0,Academic,0.7
User_0095,1.8,0.33,-0.18,I'm feeling burnt out and emotionally drained.,Computer Science,"Writing, Programming, Machine Learning",Beginner,Flexible,Emotional,-1.0,0.4,0.0,0.4,0.0,0.0,0.0,0.1667,8.5,5.0,0.0,Emotional,0.85
User_0096,8.7,0.84,0.11,Everything is fine. Learning and growing steadily.,Biology,"Programming, Critical Thinking, Statistics",Advanced,"Night, Morning",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,1.0,None,0.0
User_0097,1.9,0.14,-0.18,Today was hard. I felt very lonely and couldn't concentrate.,Engineering,"Machine Learning, Python, Teamwork, Research, Communication",Advanced,Afternoon,Emotional,-1.0,0.3333,0.0,0.3333,0.0,0.1667,0.0,0.2,10.0,5.0,0.0,Emotional,1.0
User_0098,4.8,0.31,-0.23,I need a study partner who can explain things differently.,Psychology,"Critical Thinking, Presentation, Research, Time Management, Teamwork",Beginner,"Evening, Morning, Night",Academic,-0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.2,1.5,7.0,3.0,Academic,0.7
User_0099,9.2,0.85,0.17,Doing well. Staying on track with my goals.,Education,"Presentation, Project Management, Data Analysis, Communication, Statistics",Intermediate,"Morning, Evening",None,-0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1667,0.0,0.0,2.5,Motivational,0.25
User_0100,3.6,0.36,-0.24,I've been struggling with anxiety and can't focus on anything.,Literature,"Research, Data Analysis",Expert,"Night, Weekends, Morning",Emotional,-0.6668,0.1667,0.0,0.1667,0.0,0.0,0.0,0.2,7.0,5.0,0.0,Emotional,0.7
User_0101,3.2,0.39,-0.1,I feel hopeless about my progress and don't see a way forward.,Data Science,"Critical Thinking, Time Management",Advanced,Evening,Emotional,-0.5716,0.1429,0.0,0.1429,0.0,0.0,0.0,0.2333,6.0,3.0,1.0,Emotional,0.6
User_0102,3.3,0.37,-0.19,I don't feel motivated at all and keep withdrawing from activities.,Psychology,"Research, Writing, Machine Learning, Teamwork",Expert,"Morning, Afternoon, Night",Emotional,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2333,3.0,5.0,1.0,Academic,0.5
