"UserID","Mood","Engagement","PrevEngagement","Reflection","Domain","Skills","Availability","ExperienceLevel","Profile"
"User_014","2","0.34","0.2","I cannot understand the material no matter how hard I try.","Business","Public Speaking|Data Analysis|Problem Solving|Statistics|Leadership","Morning","Advanced","negative"
"User_015","5","0.4","0.33","It was an average day. Nothing special happened.","Biology","Public Speaking|Python","Morning|Weekends","Intermediate","neutral"
"User_016","5","0.62","0.61","Today was fine but I could be more productive.","Biology","Mathematics|Critical Thinking|Leadership|Statistics|Machine Learning","Night|Evening|Flexible","Expert","neutral"
"User_017","1","0.07","0.0","I feel isolated and disconnected from my peers.","Psychology","Leadership|Public Speaking|Data Analysis","Afternoon|Night","Intermediate","negative"
"User_018","7","0.81","0.81","Today was productive; I understood the material clearly.","Computer Science","Statistics|Mathematics","Afternoon","Expert","positive"
"User_019","10","0.97","0.87","I am motivated and looking forward to collaborating with others.","Education","Critical Thinking|Research","Evening|Night","Expert","positive"
"User_020","7","0.85","0.72","I feel confident and ready to tackle the challenges ahead.","Business","Python|Teaching","Weekends|Flexible","Intermediate","positive"
"User_021","5","0.42","0.4","I completed the work but did not feel particularly engaged.","Biology","Statistics|Teaching|Leadership|Project Management|Machine Learning","Weekends","Beginner","neutral"
"User_022","6","0.68","0.81","My performance was moderate. I need to push a bit more.","Business","Research|Critical Thinking|Writing","Weekdays|Evening|Night","Advanced","neutral"
"User_023","1","0.23","0.34","I feel hopeless about my academic performance.","Psychology","Data Analysis|Leadership","Evening|Afternoon|Flexible","Beginner","negative"
"User_024","5","0.53","0.46","I felt neither excited nor stressed today.","Literature","Mentoring|Project Management","Evening|Weekdays|Morning","Intermediate","neutral"
"User_025","2","0.16","0.2","I feel hopeless about my academic performance.","Biology","Leadership|Mentoring|Project Management|Research","Night|Evening|Morning","Beginner","negative"
"User_026","1","0.05","0.0","I have been withdrawing from group activities lately.","Mathematics","Machine Learning|Problem Solving|Data Analysis","Night|Weekends|Morning","Beginner","negative"
"User_027","2","0.27","0.18","I feel isolated and disconnected from my peers.","Literature","Critical Thinking|Writing|Python","Evening|Morning","Advanced","negative"
"User_028","7","0.77","0.67","I enjoyed the session and learned a lot of new concepts.","Literature","Public Speaking|Leadership|Writing","Night","Beginner","positive"
"User_029","4","0.37","0.29","I feel anxious and unable to keep up with assignments.","Mathematics","Mathematics|Machine Learning|Statistics","Flexible|Morning","Expert","negative"
"User_030","4","0.19","0.33","I feel anxious and unable to keep up with assignments.","Biology","Mentoring|Leadership","Evening|Flexible","Beginner","negative"
"User_031","10","0.89","0.75","Things are going well. I feel supported and engaged.","Computer Science","Public Speaking|Research","Weekends","Advanced","positive"
"User_032","6","0.62","0.68","I managed my tasks but my focus was slightly off.","Education","Critical Thinking|Teaching","Evening","Beginner","neutral"
"User_033","8","0.78","0.73","Today was productive; I understood the material clearly.","Business","Mentoring|Project Management|Statistics|Machine Learning","Weekends|Evening","Expert","positive"
"User_034","2","0.13","0.12","I cannot understand the material no matter how hard I try.","Engineering","Critical Thinking|Data Analysis|Python|Research","Afternoon|Night","Advanced","negative"
"User_035","5","0.55","0.47","I am okay but could use some guidance on next steps.","Psychology","Data Analysis|Mentoring|Project Management|Teaching","Morning|Afternoon","Advanced","neutral"
"User_036","7","0.67","0.64","My energy is high and I feel positive about my goals.","Literature","Problem Solving|Critical Thinking","Weekends|Afternoon|Night","Expert","positive"
"User_037","7","0.96","1.0","Today was productive; I understood the material clearly.","Education","Writing|Mathematics|Machine Learning","Night|Morning|Weekends","Intermediate","positive"
"User_038","8","0.93","1.0","Things are going well. I feel supported and engaged.","Physics","Project Management|Data Analysis|Problem Solving|Writing|Mathematics","Evening|Afternoon","Advanced","positive"
"User_039","5","0.48","0.44","I completed the work but did not feel particularly engaged.","Mathematics","Research|Communication|Project Management","Morning|Afternoon|Weekdays","Intermediate","neutral"
"User_040","8","0.67","0.66","I enjoyed the session and learned a lot of new concepts.","Business","Critical Thinking|Python|Leadership|Public Speaking|Machine Learning","Weekdays|Morning|Weekends","Expert","positive"
"User_041","3","0.35","0.3","I cannot understand the material no matter how hard I try.","Data Science","Problem Solving|Leadership|Research","Night|Morning","Expert","negative"
"User_042","4","0.34","0.38","I am frustrated and feel like giving up on my goals.","Engineering","Public Speaking|Critical Thinking","Weekends|Weekdays|Morning","Beginner","negative"
"User_043","10","0.71","0.81","I am enthusiastic about my progress this week.","Education","Leadership|Problem Solving|Communication|Mathematics","Evening|Night","Advanced","positive"
"User_044","4","0.7","0.83","I managed my tasks but my focus was slightly off.","Biology","Mathematics|Mentoring","Flexible","Beginner","neutral"
"User_045","7","0.87","0.95","I completed my tasks and feel accomplished today.","Engineering","Mentoring|Statistics|Teaching|Leadership|Problem Solving","Evening|Flexible|Afternoon","Beginner","positive"
"User_046","9","0.69","0.75","I feel confident and ready to tackle the challenges ahead.","Mathematics","Critical Thinking|Machine Learning|Leadership|Statistics|Teaching","Flexible|Weekdays|Afternoon","Beginner","positive"
"User_047","7","0.93","0.81","I feel confident and ready to tackle the challenges ahead.","Business","Mentoring|Communication|Statistics|Data Analysis|Public Speaking","Morning|Night","Expert","positive"
"User_048","4","0.33","0.28","I cannot understand the material no matter how hard I try.","Engineering","Teaching|Mathematics|Data Analysis|Problem Solving","Night|Weekdays","Advanced","negative"
"User_049","7","0.75","0.65","My energy is high and I feel positive about my goals.","Biology","Teaching|Public Speaking|Mentoring|Critical Thinking|Communication","Night","Advanced","positive"
"User_050","9","0.77","0.77","I am enthusiastic about my progress this week.","Data Science","Data Analysis|Leadership","Afternoon","Expert","positive"
"User_051","4","0.31","0.25","I am frustrated and feel like giving up on my goals.","Physics","Statistics|Research","Night","Intermediate","negative"
"User_052","7","0.57","0.64","I managed my tasks but my focus was slightly off.","Education","Communication|Machine Learning|Problem Solving|Research","Evening|Afternoon","Beginner","neutral"
"User_053","8","0.72","0.66","My energy is high and I feel positive about my goals.","Mathematics","Statistics|Project Management|Leadership|Research","Evening","Intermediate","positive"
"User_054","2","0.16","0.18","I feel overwhelmed and cannot focus on anything.","Data Science","Machine Learning|Writing|Mentoring|Problem Solving","Flexible","Beginner","negative"
"User_055","7","0.5","0.4","It was an average day. Nothing special happened.","Mathematics","Statistics|Project Management|Public Speaking|Critical Thinking|Problem Solving","Weekends","Beginner","neutral"
"User_056","3","0.08","0.19","I feel anxious and unable to keep up with assignments.","Psychology","Teaching|Public Speaking|Mathematics|Project Management|Leadership","Night|Flexible|Weekdays","Advanced","negative"
"User_057","3","0.28","0.2","I feel overwhelmed and cannot focus on anything.","Literature","Mathematics|Leadership","Afternoon|Evening|Morning","Intermediate","negative"
"User_058","5","0.4","0.53","Today was fine but I could be more productive.","Literature","Research|Python|Leadership|Public Speaking|Machine Learning","Flexible|Night|Morning","Intermediate","neutral"
"User_059","2","0.22","0.31","I have been absent from sessions due to low energy.","Biology","Public Speaking|Research|Writing","Morning","Intermediate","negative"
"User_060","6","0.53","0.65","Today was fine but I could be more productive.","Mathematics","Research|Data Analysis|Project Management|Problem Solving|Machine Learning","Weekends","Beginner","neutral"
"User_061","3","0.06","0.05","I feel anxious and unable to keep up with assignments.","Literature","Mathematics|Mentoring","Weekends|Morning","Intermediate","negative"
"User_062","3","0.12","0.07","I feel hopeless about my academic performance.","Education","Statistics|Problem Solving|Communication|Critical Thinking|Mathematics","Weekdays|Morning","Intermediate","negative"
"User_063","3","0.32","0.46","I cannot understand the material no matter how hard I try.","Data Science","Problem Solving|Statistics","Evening|Flexible","Beginner","negative"
"User_064","4","0.6","0.68","Today was fine but I could be more productive.","Education","Leadership|Data Analysis","Weekends|Night","Expert","neutral"
"User_065","8","0.97","0.99","My energy is high and I feel positive about my goals.","Physics","Python|Mentoring","Flexible|Afternoon|Weekdays","Advanced","positive"
"User_066","4","0.47","0.47","I completed the work but did not feel particularly engaged.","Physics","Mentoring|Project Management","Night","Advanced","neutral"
"User_067","10","0.99","1.0","I completed my tasks and feel accomplished today.","Physics","Critical Thinking|Leadership|Teaching","Weekdays|Afternoon|Morning","Advanced","positive"
"User_068","3","0.42","0.53","I have been absent from sessions due to low energy.","Mathematics","Research|Machine Learning","Flexible|Weekends","Expert","negative"
"User_069","7","0.5","0.45","I am unsure about some concepts and need clarity.","Physics","Project Management|Leadership|Machine Learning|Public Speaking","Night|Afternoon|Flexible","Beginner","neutral"
"User_070","7","0.52","0.53","I am okay but could use some guidance on next steps.","Physics","Writing|Data Analysis","Evening|Morning|Night","Beginner","neutral"
"User_071","5","0.52","0.66","I am okay but could use some guidance on next steps.","Psychology","Mathematics|Research|Communication|Teaching|Critical Thinking","Morning|Evening|Weekends","Expert","neutral"
"User_072","7","0.66","0.8","It was an average day. Nothing special happened.","Literature","Leadership|Mentoring","Evening|Afternoon|Morning","Expert","neutral"
"User_073","1","0.23","0.19","I am exhausted and demotivated. Nothing seems to work.","Computer Science","Communication|Mathematics","Evening","Advanced","negative"
"User_074","10","0.85","0.77","I am motivated and looking forward to collaborating with others.","Engineering","Statistics|Teaching|Critical Thinking","Weekdays|Afternoon|Night","Intermediate","positive"
"User_075","7","0.48","0.52","It was an average day. Nothing special happened.","Physics","Mentoring|Data Analysis|Writing|Statistics","Evening|Weekends","Advanced","neutral"
"User_076","6","0.54","0.4","I felt neither excited nor stressed today.","Biology","Project Management|Problem Solving|Statistics|Leadership|Critical Thinking","Evening|Weekends|Flexible","Advanced","neutral"
"User_077","4","0.16","0.2","I feel hopeless about my academic performance.","Computer Science","Project Management|Research|Mathematics|Leadership|Teaching","Afternoon|Weekdays","Intermediate","negative"
"User_078","2","0.3","0.37","I feel overwhelmed and cannot focus on anything.","Mathematics","Python|Teaching|Communication|Machine Learning|Writing","Evening","Advanced","negative"
"User_079","8","0.93","0.92","Things are going well. I feel supported and engaged.","Data Science","Project Management|Writing|Research|Problem Solving","Weekdays|Evening","Beginner","positive"
"User_080","8","0.95","0.91","I enjoyed the session and learned a lot of new concepts.","Data Science","Statistics|Mathematics|Critical Thinking|Python","Weekends|Morning","Expert","positive"
"User_081","3","0.28","0.32","I feel isolated and disconnected from my peers.","Psychology","Problem Solving|Python|Teaching","Evening|Weekends|Afternoon","Beginner","negative"
"User_082","6","0.59","0.71","I completed the work but did not feel particularly engaged.","Engineering","Python|Research","Morning|Flexible","Intermediate","neutral"
"User_083","10","0.78","0.81","I enjoyed the session and learned a lot of new concepts.","Literature","Public Speaking|Critical Thinking|Mentoring","Flexible","Expert","positive"
"User_084","3","0.06","0.0","I feel isolated and disconnected from my peers.","Biology","Problem Solving|Leadership|Communication|Statistics|Mentoring","Weekends|Weekdays","Advanced","negative"
"User_085","7","0.98","0.9","My energy is high and I feel positive about my goals.","Psychology","Mentoring|Public Speaking|Teaching","Morning","Advanced","positive"
"User_086","8","0.67","0.6","I completed my tasks and feel accomplished today.","Literature","Project Management|Public Speaking|Leadership","Flexible|Afternoon","Beginner","positive"
"User_087","2","0.27","0.12","I have been withdrawing from group activities lately.","Psychology","Writing|Python","Flexible|Afternoon","Advanced","negative"
"User_088","8","0.91","1.0","Today was productive; I understood the material clearly.","Psychology","Problem Solving|Mathematics|Communication|Data Analysis|Teaching","Night","Intermediate","positive"
"User_089","9","0.81","0.93","I feel confident and ready to tackle the challenges ahead.","Computer Science","Project Management|Critical Thinking|Public Speaking|Mentoring|Statistics","Weekdays|Night","Beginner","positive"
"User_090","8","0.67","0.55","I am enthusiastic about my progress this week.","Literature","Critical Thinking|Teaching|Data Analysis|Research","Weekends|Flexible","Expert","positive"
"User_091","2","0.22","0.27","I feel anxious and unable to keep up with assignments.","Education","Project Management|Problem Solving|Critical Thinking|Mathematics","Morning|Evening|Night","Advanced","negative"
"User_092","5","0.61","0.68","Today was fine but I could be more productive.","Psychology","Project Management|Statistics","Night","Beginner","neutral"
"User_093","5","0.57","0.45","I managed my tasks but my focus was slightly off.","Psychology","Communication|Project Management|Mentoring|Critical Thinking|Python","Weekends|Evening","Advanced","neutral"
"User_094","5","0.6","0.7","My performance was moderate. I need to push a bit more.","Psychology","Project Management|Data Analysis|Communication|Statistics","Weekends|Afternoon","Expert","neutral"
"User_095","1","0.29","0.19","I am exhausted and demotivated. Nothing seems to work.","Computer Science","Research|Machine Learning|Mathematics","Evening|Flexible","Beginner","negative"
"User_096","10","0.67","0.74","I feel confident and ready to tackle the challenges ahead.","Psychology","Critical Thinking|Public Speaking|Problem Solving","Afternoon|Evening","Advanced","positive"
"User_097","1","0.4","0.4","I have been withdrawing from group activities lately.","Engineering","Mentoring|Statistics","Night|Weekdays","Expert","negative"
"User_098","6","0.46","0.32","I completed the work but did not feel particularly engaged.","Business","Statistics|Research|Mentoring|Mathematics|Teaching","Weekends|Weekdays","Advanced","neutral"
"User_099","4","0.4","0.47","I felt neither excited nor stressed today.","Biology","Mathematics|Research|Project Management","Morning|Flexible","Expert","neutral"
"User_100","10","0.84","0.95","I completed my tasks and feel accomplished today.","Data Science","Statistics|Critical Thinking|Machine Learning|Python","Morning|Night","Beginner","positive"
"User_101","7","0.61","0.71","I am unsure about some concepts and need clarity.","Mathematics","Critical Thinking|Python","Afternoon|Weekends","Expert","neutral"
"User_102","1","0.22","0.17","I am struggling with the coursework and feel lost.","Biology","Teaching|Critical Thinking|Data Analysis|Statistics|Project Management","Weekdays|Evening","Intermediate","negative"
"User_103","7","0.84","0.77","I completed my tasks and feel accomplished today.","Business","Machine Learning|Project Management|Mentoring|Writing","Morning","Intermediate","positive"
"User_104","8","0.92","1.0","Today was productive; I understood the material clearly.","Engineering","Problem Solving|Mathematics|Teaching|Project Management|Public Speaking","Weekends|Weekdays|Flexible","Advanced","positive"
"User_105","5","0.53","0.52","Today was fine but I could be more productive.","Physics","Mathematics|Research|Teaching|Python","Weekends|Morning","Advanced","neutral"
"User_106","9","0.94","0.89","Today was productive; I understood the material clearly.","Psychology","Problem Solving|Teaching|Data Analysis|Machine Learning|Python","Flexible|Weekends","Intermediate","positive"
"User_107","5","0.69","0.75","Today was fine but I could be more productive.","Psychology","Machine Learning|Statistics|Data Analysis|Mentoring","Morning","Intermediate","neutral"
"User_108","2","0.2","0.08","I am exhausted and demotivated. Nothing seems to work.","Education","Mathematics|Communication|Mentoring|Teaching|Python","Weekdays|Evening|Morning","Advanced","negative"
"User_109","3","0.15","0.04","I feel hopeless about my academic performance.","Engineering","Statistics|Teaching|Mentoring|Writing","Evening|Weekdays","Expert","negative"
"User_110","1","0.17","0.03","I cannot understand the material no matter how hard I try.","Business","Mentoring|Machine Learning|Project Management","Weekends|Morning|Night","Advanced","negative"
"User_111","8","0.77","0.82","My energy is high and I feel positive about my goals.","Biology","Writing|Public Speaking|Statistics","Flexible|Morning","Beginner","positive"
"User_112","2","0.29","0.26","I have been withdrawing from group activities lately.","Engineering","Project Management|Machine Learning|Mathematics","Flexible|Afternoon|Night","Beginner","negative"
"User_113","2","0.44","0.43","I feel hopeless about my academic performance.","Mathematics","Leadership|Data Analysis|Public Speaking|Research|Problem Solving","Evening","Expert","negative"
"User_114","10","0.83","0.94","I enjoyed the session and learned a lot of new concepts.","Engineering","Mathematics|Teaching|Writing","Morning|Weekdays","Expert","positive"
"User_115","4","0.61","0.71","I completed the work but did not feel particularly engaged.","Mathematics","Mathematics|Writing","Night|Weekends","Intermediate","neutral"
"User_116","8","0.94","0.8","Things are going well. I feel supported and engaged.","Computer Science","Python|Critical Thinking|Data Analysis|Communication|Leadership","Morning|Evening","Intermediate","positive"
"User_117","3","0.37","0.35","I have been withdrawing from group activities lately.","Computer Science","Public Speaking|Project Management|Problem Solving|Machine Learning","Flexible","Expert","negative"
"User_118","7","0.66","0.64","I completed my tasks and feel accomplished today.","Engineering","Statistics|Mathematics|Research|Leadership|Project Management","Morning","Intermediate","positive"
"User_119","4","0.08","0.06","I am frustrated and feel like giving up on my goals.","Literature","Mentoring|Data Analysis","Afternoon|Weekdays|Flexible","Advanced","negative"
"User_120","5","0.57","0.43","I am okay but could use some guidance on next steps.","Psychology","Statistics|Data Analysis|Project Management|Mathematics","Weekends|Morning|Night","Expert","neutral"
"User_121","6","0.48","0.37","It was an average day. Nothing special happened.","Business","Communication|Leadership","Weekdays|Flexible|Morning","Advanced","neutral"
"User_122","6","0.64","0.55","I am okay but could use some guidance on next steps.","Physics","Mentoring|Writing|Mathematics|Project Management|Statistics","Flexible|Night|Morning","Advanced","neutral"
"User_123","1","0.18","0.29","I am exhausted and demotivated. Nothing seems to work.","Data Science","Project Management|Data Analysis|Problem Solving|Research|Python","Afternoon|Evening|Weekdays","Beginner","negative"
"User_124","7","0.93","1.0","I enjoyed the session and learned a lot of new concepts.","Education","Public Speaking|Critical Thinking|Communication|Writing|Problem Solving","Night|Evening|Weekends","Advanced","positive"
"User_125","1","0.22","0.12","I have been withdrawing from group activities lately.","Data Science","Communication|Statistics|Project Management|Public Speaking","Evening|Flexible|Night","Expert","negative"
"User_126","7","0.41","0.55","I managed my tasks but my focus was slightly off.","Literature","Research|Mentoring|Mathematics|Python|Statistics","Weekdays|Night|Evening","Intermediate","neutral"
"User_127","10","0.66","0.62","Today was productive; I understood the material clearly.","Biology","Communication|Critical Thinking|Teaching|Python","Afternoon|Weekdays|Night","Advanced","positive"
"User_128","2","0.26","0.38","I cannot understand the material no matter how hard I try.","Business","Leadership|Statistics|Python|Machine Learning","Night","Expert","negative"
"User_129","9","0.9","0.89","I completed my tasks and feel accomplished today.","Literature","Machine Learning|Problem Solving|Leadership|Statistics","Flexible","Beginner","positive"
"User_130","4","0.45","0.54","I feel isolated and disconnected from my peers.","Business","Data Analysis|Public Speaking","Evening|Afternoon","Intermediate","negative"
"User_131","4","0.7","0.73","I am okay but could use some guidance on next steps.","Biology","Python|Communication|Data Analysis|Teaching|Project Management","Flexible|Weekends","Intermediate","neutral"
"User_132","9","0.79","0.78","My energy is high and I feel positive about my goals.","Data Science","Mathematics|Critical Thinking|Teaching|Statistics|Writing","Weekdays|Morning","Expert","positive"
"User_133","5","0.66","0.56","I am okay but could use some guidance on next steps.","Engineering","Data Analysis|Project Management|Python|Statistics|Public Speaking","Evening","Intermediate","neutral"
"User_134","2","0.19","0.22","I have been absent from sessions due to low energy.","Mathematics","Research|Leadership","Weekends|Evening|Afternoon","Advanced","negative"
"User_135","8","0.86","0.91","I am motivated and looking forward to collaborating with others.","Engineering","Project Management|Teaching|Python|Mathematics","Morning","Advanced","positive"
"User_136","4","0.3","0.36","I feel overwhelmed and cannot focus on anything.","Physics","Mentoring|Research|Problem Solving|Leadership","Night|Evening|Flexible","Beginner","negative"
"User_137","10","0.82","0.71","I completed my tasks and feel accomplished today.","Business","Communication|Project Management|Machine Learning","Weekdays|Evening","Expert","positive"
"User_138","4","0.5","0.61","Today was fine but I could be more productive.","Psychology","Problem Solving|Leadership|Writing|Statistics","Evening","Expert","neutral"
"User_139","5","0.64","0.52","I managed my tasks but my focus was slightly off.","Biology","Problem Solving|Data Analysis|Public Speaking","Evening|Night","Beginner","neutral"
"User_140","7","0.69","0.7","My performance was moderate. I need to push a bit more.","Literature","Python|Public Speaking|Research|Problem Solving","Flexible|Weekdays|Night","Advanced","neutral"
"User_141","4","0.1","0.0","I am exhausted and demotivated. Nothing seems to work.","Business","Communication|Python|Critical Thinking|Project Management|Teaching","Afternoon|Evening|Weekends","Advanced","negative"
"User_142","6","0.65","0.56","I completed the work but did not feel particularly engaged.","Engineering","Critical Thinking|Communication","Weekends|Evening","Intermediate","neutral"
"User_143","4","0.41","0.31","I am okay but could use some guidance on next steps.","Business","Data Analysis|Problem Solving|Writing|Teaching|Public Speaking","Evening","Advanced","neutral"
"User_144","3","0.29","0.43","I have been absent from sessions due to low energy.","Data Science","Machine Learning|Teaching|Research|Problem Solving|Python","Evening|Weekdays","Beginner","negative"
"User_145","4","0.58","0.47","I felt neither excited nor stressed today.","Literature","Machine Learning|Python|Teaching","Afternoon|Weekends","Expert","neutral"
"User_146","1","0.28","0.25","I am struggling with the coursework and feel lost.","Biology","Problem Solving|Communication","Afternoon|Night","Intermediate","negative"
"User_147","4","0.4","0.54","I feel overwhelmed and cannot focus on anything.","Engineering","Data Analysis|Communication|Mentoring","Weekends|Night","Advanced","negative"
"User_148","6","0.56","0.62","I felt neither excited nor stressed today.","Literature","Leadership|Public Speaking|Research|Data Analysis|Mathematics","Evening","Advanced","neutral"
"User_149","4","0.18","0.12","I feel isolated and disconnected from my peers.","Data Science","Research|Statistics|Teaching|Mentoring","Night|Flexible|Evening","Intermediate","negative"
"User_150","7","0.77","0.69","My energy is high and I feel positive about my goals.","Mathematics","Leadership|Public Speaking|Data Analysis|Research|Mathematics","Evening|Afternoon|Morning","Intermediate","positive"
"User_151","2","0.31","0.28","I feel overwhelmed and cannot focus on anything.","Psychology","Communication|Machine Learning|Problem Solving|Statistics|Mentoring","Morning","Intermediate","negative"
"User_152","4","0.24","0.36","I feel anxious and unable to keep up with assignments.","Mathematics","Research|Mentoring|Python|Statistics","Weekends|Afternoon|Flexible","Beginner","negative"
"User_153","8","0.98","1.0","I feel confident and ready to tackle the challenges ahead.","Education","Writing|Machine Learning|Research|Python|Project Management","Weekends|Flexible","Beginner","positive"
"User_154","10","1.0","1.0","My energy is high and I feel positive about my goals.","Engineering","Research|Leadership|Mathematics|Statistics|Communication","Weekdays","Expert","positive"
"User_155","1","0.34","0.22","I am exhausted and demotivated. Nothing seems to work.","Literature","Writing|Teaching|Mentoring","Flexible|Night","Advanced","negative"
"User_156","2","0.44","0.58","I am frustrated and feel like giving up on my goals.","Business","Python|Research|Critical Thinking","Night","Advanced","negative"
"User_157","7","0.74","0.8","Things are going well. I feel supported and engaged.","Biology","Mentoring|Statistics","Evening|Afternoon","Expert","positive"
"User_158","3","0.33","0.3","I am exhausted and demotivated. Nothing seems to work.","Business","Leadership|Writing|Problem Solving","Night","Advanced","negative"
"User_159","7","0.63","0.5","My performance was moderate. I need to push a bit more.","Biology","Data Analysis|Problem Solving","Weekdays|Evening|Morning","Beginner","neutral"
"User_160","5","0.57","0.45","I am okay but could use some guidance on next steps.","Engineering","Project Management|Data Analysis|Problem Solving|Statistics","Afternoon|Weekdays|Weekends","Expert","neutral"
"User_161","4","0.54","0.47","I am unsure about some concepts and need clarity.","Physics","Data Analysis|Problem Solving","Flexible|Evening|Morning","Expert","neutral"
"User_162","8","0.85","0.79","I feel confident and ready to tackle the challenges ahead.","Education","Machine Learning|Statistics|Data Analysis|Python","Night","Beginner","positive"
"User_163","8","0.92","0.81","I enjoyed the session and learned a lot of new concepts.","Business","Problem Solving|Project Management|Critical Thinking|Mathematics|Statistics","Weekdays|Weekends|Afternoon","Advanced","positive"
"User_164","4","0.26","0.36","I feel anxious and unable to keep up with assignments.","Computer Science","Research|Problem Solving","Weekdays|Weekends|Night","Expert","negative"
"User_165","9","0.7","0.61","I completed my tasks and feel accomplished today.","Psychology","Mathematics|Mentoring","Weekends|Morning","Intermediate","positive"
"User_166","7","0.81","0.89","I feel confident and ready to tackle the challenges ahead.","Biology","Critical Thinking|Problem Solving","Weekends","Intermediate","positive"
"User_167","2","0.25","0.4","I am exhausted and demotivated. Nothing seems to work.","Biology","Teaching|Public Speaking|Mathematics|Mentoring","Afternoon|Evening","Intermediate","negative"
"User_168","7","0.49","0.58","It was an average day. Nothing special happened.","Data Science","Mentoring|Public Speaking|Critical Thinking","Night|Morning|Evening","Expert","neutral"
"User_169","10","0.79","0.73","I am enthusiastic about my progress this week.","Education","Mathematics|Data Analysis|Problem Solving","Flexible","Intermediate","positive"
"User_170","4","0.42","0.55","I have been absent from sessions due to low energy.","Education","Data Analysis|Public Speaking|Writing|Critical Thinking|Leadership","Afternoon|Evening","Beginner","negative"
"User_171","1","0.26","0.17","I feel anxious and unable to keep up with assignments.","Computer Science","Critical Thinking|Mentoring|Teaching|Mathematics","Flexible","Beginner","negative"
"User_172","2","0.24","0.3","I feel isolated and disconnected from my peers.","Mathematics","Leadership|Public Speaking","Morning|Weekdays|Night","Intermediate","negative"
"User_173","4","0.42","0.42","I have been absent from sessions due to low energy.","Business","Critical Thinking|Problem Solving|Data Analysis|Mentoring","Evening|Flexible","Advanced","negative"
"User_174","4","0.64","0.71","Today was fine but I could be more productive.","Business","Communication|Public Speaking|Critical Thinking","Weekends","Intermediate","neutral"
"User_175","10","0.75","0.68","I completed my tasks and feel accomplished today.","Business","Critical Thinking|Teaching|Leadership","Weekends|Weekdays","Advanced","positive"
"User_176","4","0.23","0.24","I feel isolated and disconnected from my peers.","Engineering","Machine Learning|Data Analysis|Problem Solving","Weekends","Beginner","negative"
"User_177","1","0.43","0.39","I feel overwhelmed and cannot focus on anything.","Computer Science","Writing|Project Management|Mentoring|Leadership|Statistics","Afternoon|Morning|Flexible","Expert","negative"
"User_178","7","0.6","0.69","It was an average day. Nothing special happened.","Computer Science","Python|Public Speaking|Data Analysis|Machine Learning|Research","Evening|Morning|Weekends","Expert","neutral"
"User_179","1","0.42","0.51","I have been absent from sessions due to low energy.","Engineering","Leadership|Teaching|Data Analysis","Flexible|Evening","Advanced","negative"
"User_180","10","0.81","0.77","I completed my tasks and feel accomplished today.","Biology","Mentoring|Project Management|Statistics|Public Speaking","Flexible|Morning|Weekdays","Expert","positive"
"User_181","4","0.59","0.51","I am okay but could use some guidance on next steps.","Psychology","Project Management|Critical Thinking|Mentoring|Communication|Teaching","Weekends","Beginner","neutral"
"User_182","4","0.16","0.24","I am struggling with the coursework and feel lost.","Mathematics","Writing|Project Management","Morning|Afternoon","Intermediate","negative"
"User_183","4","0.42","0.51","I am exhausted and demotivated. Nothing seems to work.","Engineering","Teaching|Project Management|Critical Thinking","Weekends|Evening|Night","Intermediate","negative"
"User_184","1","0.25","0.39","I feel isolated and disconnected from my peers.","Computer Science","Critical Thinking|Leadership","Evening","Expert","negative"
